ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
005bcc94-3fdd-5c7a-b77d-9f47cad5f870,skyview-2-battery-energy-storage-system,Skyview 2 Battery Energy Storage System,Clean Energy & Grid,Energy Storage,ON,Edwardsburgh-Cardinal,ANNOUNCED,750000000,REPORTED,20.0,15.0,REPORTED
01306db2-3cc8-5773-a2c2-163948231601,lng-canada-load-interconnection-project,LNG Canada Load Interconnection Project,Energy & Fuels,Energy infrastructure,BC,Kitimat,CONSTRUCTION,82000000,REPORTED,95.0,15.0,REPORTED
01507d05-00cf-57e1-81b8-0c87122dd7a9,darlington-new-nuclear-project-unit-1,Darlington New Nuclear Project — Unit 1,Nuclear & Clean Power,Small Modular Reactor,ON,"Darlington site, Clarington",CONSTRUCTION,7700000000,REPORTED,96.3,40.0,SUPPORTED
02e952ac-30fd-5bdd-9ffa-17985fb90965,crown-mountain-coal-project,Crown Mountain Coal Project,Mining & Metals,Mining & mineral development,BC,Fernie,ANNOUNCED,561000000,REPORTED,20.0,15.0,REPORTED
04e4f0ba-028c-5b3f-9922-e4dfe7c59713,marathon-pgm-copper-mine,Marathon PGM Copper Mine,Mining & Metals,Mining & mineral development,ON,Marathon,ANNOUNCED,809000000,REPORTED,20.0,15.0,REPORTED
0806fbce-02d7-57f2-970d-395305cdf951,vulcan-solar-project,Vulcan Solar Project,Clean Energy & Grid,Solar,AB,Vulcan County,ANNOUNCED,155000000,REPORTED,20.0,15.0,REPORTED
09f7fc07-1392-565c-af9d-79b5808169e5,wm-sainte-sophie-landfill-rng-facility,WM Sainte-Sophie Landfill RNG Facility,Clean Energy & Grid,Bioenergy,QC,Saint-Sophie,ANNOUNCED,200000000,REPORTED,20.0,15.0,REPORTED
0a4a601c-6730-5a38-b000-7e2194654928,portage-area-capacity-enhancements,Portage Area Capacity Enhancements,Clean Energy & Grid,Hydro,MB,Portage la Prarie Area,CONSTRUCTION,84900000,REPORTED,95.0,15.0,REPORTED
0b642024-1b04-5137-989f-72da5477daab,complexe-canadian-malartic-odyssey-nord-et-sud,Complexe Canadian Malartic - Odyssey Nord et Sud,Mining & Metals,Mining & mineral development,QC,Malartic,CONSTRUCTION,1769200000,REPORTED,95.0,15.0,REPORTED
0d418f96-3e16-589e-b6ae-9af9f057703a,the-tugaske-project,The Tugaske Project,Mining & Metals,Mining & mineral development,SK,Vanguard area - 170 km SSE of Saskatoon,ANNOUNCED,352100000,REPORTED,20.0,15.0,REPORTED
0eaa429d-d1f5-514a-ae0f-83406d8bb19e,pine-point,Pine Point,Mining & Metals,Mining & mineral development,NT,"East of Hay River, South of Yellowknife",ANNOUNCED,653300000,REPORTED,20.0,15.0,REPORTED
0fd055d1-7528-54ba-80b2-26ab9b518412,new-polaris-gold-mine,New Polaris Gold Mine,Mining & Metals,Mining & mineral development,BC,Atlin,ANNOUNCED,143700000,REPORTED,20.0,15.0,REPORTED
1213e825-cf36-557d-95cf-9c5336004916,limestone-units-1-3-5-10-stator-re-wedge,Limestone Units 1-3 & 5-10 Stator Re-Wedge,Clean Energy & Grid,Hydro,MB,Nelson River,CONSTRUCTION,38600000,REPORTED,95.0,15.0,REPORTED
12ed5de3-38a9-50b5-a5ff-aad1cdb1bcea,river-valley-palladium,River Valley Palladium,Mining & Metals,Mining & mineral development,ON,30 km N of Warren,ANNOUNCED,268700000,REPORTED,20.0,15.0,REPORTED
1332203b-002f-5c28-98e4-82dd3f880b97,upper-beaver,Upper Beaver,Mining & Metals,Mining & mineral development,ON,Kirkland Lake,ANNOUNCED,900000000,REPORTED,20.0,15.0,REPORTED
14ab6ba7-f3f4-507a-9c28-26ae2b4d29ff,gething-coal-project,Gething Coal Project,Mining & Metals,Mining & mineral development,BC,Hudson Hope,ANNOUNCED,1360000000,REPORTED,20.0,15.0,REPORTED
153e3a12-cbaf-582f-b1dd-7ff7c5b0046a,syncrude-mildred-lake-extension-153e3a12cbaf,Syncrude Mildred Lake Extension,Energy & Fuels,Energy infrastructure,AB,Mildred Lake,CONSTRUCTION,3300000000,REPORTED,95.0,15.0,REPORTED
15915161-8f3e-5a77-9a22-9998c8505382,shaakichiuwaanaan,Shaakichiuwaanaan,Mining & Metals,Mining & mineral development,QC,Eeyou Istchee Baie-James,ANNOUNCED,1373500000,REPORTED,20.0,15.0,REPORTED
1602f9c4-15bd-54cc-aff2-c2c6b3ac4113,marban-project-prev-marban-alliance,Marban Project (prev. Marban Alliance),Mining & Metals,Mining & mineral development,QC,Val-d'Or,ANNOUNCED,435100000,REPORTED,20.0,15.0,REPORTED
17a48f6b-a793-5273-92ad-75fba2b38dca,biofuel-facility,Biofuel Facility,Clean Energy & Grid,Bioenergy,BC,Prince George,ANNOUNCED,70000000,REPORTED,20.0,15.0,REPORTED
1b60cad8-5c5f-53e5-860c-2e0f07c9deba,victoria-project,Victoria Project,Mining & Metals,Mining & mineral development,ON,Sudbury,CONSTRUCTION,1000000000,REPORTED,95.0,15.0,REPORTED
1b69523d-b2d0-5025-9bc9-1055174e2939,turnagain-project,Turnagain Project,Mining & Metals,Mining & mineral development,BC,Dease Lake Area,ANNOUNCED,2459100000,REPORTED,20.0,15.0,REPORTED
1b85ab1b-d361-5374-a5cf-1c15a5504556,darlington-refurbishment-project,Darlington Refurbishment Project,Nuclear & Clean Power,Nuclear,ON,Clarington,CONSTRUCTION,12800000000,REPORTED,95.0,15.0,REPORTED
1ba9a7ce-3a1a-5053-97d7-59ff1e924f77,kinskuch-hydroelectric-project,Kinskuch Hydroelectric Project,Clean Energy & Grid,Hydro,BC,Iskut,ANNOUNCED,300000000,REPORTED,20.0,15.0,REPORTED
1c8c422a-ff62-5aca-bd54-cd58bfb6cbbe,greenview-geothermal-power-plant-alberta-no-1,Greenview Geothermal Power Plant (Alberta No. 1),Clean Energy & Grid,Geothermal,AB,Greenview No. 16,ANNOUNCED,106000000,REPORTED,20.0,15.0,REPORTED
1d2737c7-e559-5e07-b914-0827635a18a9,log-creek-water-power-project,Log Creek Water Power  Project,Clean Energy & Grid,Hydro,BC,Boston Bar,ANNOUNCED,20000000,REPORTED,20.0,15.0,REPORTED
1d4a5c91-b3bf-5b27-a735-653a3968f0af,cariboo-gold-project,Cariboo Gold Project,Mining & Metals,Mining & mineral development,BC,Quesnel,ANNOUNCED,881000000,REPORTED,20.0,15.0,REPORTED
2021c554-0959-52b4-ab5f-cbae850b5beb,bruce-nuclear-refurbishment,Bruce Nuclear Refurbishment,Nuclear & Clean Power,Nuclear,ON,Tiverton,CONSTRUCTION,13000000000,REPORTED,95.0,15.0,REPORTED
20a08c41-e69f-57f4-9b58-0c7d0ba7ef8e,tilbury-phase-2-lng-expansion-project,Tilbury Phase 2 LNG expansion project,Energy & Fuels,Energy infrastructure,BC,Delta,ANNOUNCED,3000000000,REPORTED,20.0,15.0,REPORTED
20dcd189-e655-5294-ab86-ce5a66be7ed8,aries,Aries,Mining & Metals,Mining & mineral development,AB,87.7 km WSW of Rocky Mountain House,ANNOUNCED,593000000,REPORTED,20.0,15.0,REPORTED
227ace82-24e3-5d56-b275-f15f31018cb5,white-rose-expansion-white-rose-west,White Rose Expansion - White Rose West,Energy & Fuels,Energy infrastructure,NL,Offshore Newfoundland,CONSTRUCTION,3800000000,REPORTED,95.0,15.0,REPORTED
22f44df9-82e2-582a-90a7-5f0553befca7,airport-city-solar,Airport City Solar,Clean Energy & Grid,Solar,AB,Leduc County,ANNOUNCED,169000000,REPORTED,20.0,15.0,REPORTED
2361a9b5-1684-59ee-890d-d89fc8c58e02,detour-lake-open-pit-expansion-and-underground-development,Detour Lake open pit expansion and underground development,Mining & Metals,Mining & mineral development,ON,Detour Lake,CONSTRUCTION,731000000,REPORTED,95.0,15.0,REPORTED
23fb0345-e5ee-5a02-8973-57df46a93f15,rocktree-solar-project-fortis-stony-plain-434s-der-solar,Rocktree Solar Project (Fortis Stony Plain 434S DER Solar),Clean Energy & Grid,Solar,AB,Parkland County,ANNOUNCED,40000000,REPORTED,20.0,15.0,REPORTED
25cba8e4-6469-5d7d-a653-0e09653e6c6d,crawford,Crawford,Mining & Metals,Mining & mineral development,ON,40 km N of Timmins,ANNOUNCED,2835000000,REPORTED,20.0,15.0,REPORTED
26179d22-998c-5c5b-bd60-5a41aefe64ac,sisson-project,Sisson Project,Mining & Metals,Mining & mineral development,NB,Fredericton,ANNOUNCED,579000000,REPORTED,20.0,15.0,REPORTED
262feb07-3473-5045-8b5f-ae00426944cd,blackrod,Blackrod,Energy & Fuels,Energy infrastructure,AB,Regional Municipality of Wood Buffalo (RMWB) & Lac La Biche County,CONSTRUCTION,2927000000,REPORTED,95.0,15.0,REPORTED
2676cff7-63a8-5916-86fe-f15574c8afdc,tu-deh-kah-geothermal-development,Tu Deh Kah Geothermal Development,Clean Energy & Grid,Bioenergy,BC,Fort Nelson,ANNOUNCED,100000000,REPORTED,20.0,15.0,REPORTED
26ce3baf-4bbf-5a3e-835e-a5a76760aa4d,the-nova-tidal-array-petit-passage,The Nova Tidal Array (Petit Passage),Clean Energy & Grid,Tidal,NS,Petit Passage,CONSTRUCTION,22000000,REPORTED,95.0,15.0,REPORTED
282ca62a-6587-5f4f-9717-b1e65a11ce5d,naphtha-recovery-unit-tailings-treatment-project,Naphtha Recovery Unit Tailings Treatment Project,Energy & Fuels,Energy infrastructure,AB,Wood Buffalo,CONSTRUCTION,350000000,REPORTED,95.0,15.0,REPORTED
28457794-0460-5270-ac49-0eaa76ae8f8b,wynyard-potash-project,Wynyard Potash Project,Mining & Metals,Mining & mineral development,SK,Wynyard,ANNOUNCED,789000000,REPORTED,20.0,15.0,REPORTED
2861b433-93f1-5b2a-a7cd-f9c1258dc008,coffee-gold-mine,Coffee Gold Mine,Mining & Metals,Mining & mineral development,YT,"130km south of Dawson City, Yukon",ANNOUNCED,317000000,REPORTED,20.0,15.0,REPORTED
28f9c659-b62d-5335-84a9-e1e2134ad381,valentine-gold-mine,Valentine Gold Mine,Mining & Metals,Mining & mineral development,NL,"55 km SW of Millertown, NL",CONSTRUCTION,854000000,REPORTED,95.0,15.0,REPORTED
2abfa028-5bc3-5ae1-a973-6c5ed9ee7cef,troilus,Troilus,Mining & Metals,Mining & mineral development,QC,Eeyou Istchee Baie-James,ANNOUNCED,1074600000,REPORTED,20.0,15.0,REPORTED
2afe69f1-19f5-5364-be92-b883652a11c3,spruce-lake-east-lloyd,Spruce Lake East Lloyd,Energy & Fuels,Energy infrastructure,SK,Spruce Lake,CONSTRUCTION,350000000,REPORTED,95.0,15.0,REPORTED
2c6cd9fb-24c1-5a01-8277-9a3ced2039ad,vista-coal-project-vista-test-underground-mine-and-vista-mine-phase-ii-expansion-projects,Vista' Coal Project (Vista Test Underground Mine and Vista Mine Phase II Expansion Projects),Mining & Metals,Mining & mineral development,AB,Yellowhead County,ANNOUNCED,719000000,REPORTED,20.0,15.0,REPORTED
2dfbcb6b-a767-5ffc-adf7-11657dc8e20c,centrale-hydroelectrique-manouane-sipi-dam-b,Centrale hydroélectrique Manouane Sipi (Dam B),Clean Energy & Grid,Hydro,QC,La Tuque,ANNOUNCED,100000000,REPORTED,20.0,15.0,REPORTED
2ff59581-4b26-5d5d-848a-776607a70c87,aira-solar-project,Aira Solar Project,Clean Energy & Grid,Solar,AB,Forty Mile County No. 8,CONSTRUCTION,700000000,REPORTED,95.0,15.0,REPORTED
301e7636-45f0-5743-a456-eeae5cf73eda,torrefied-pellet-plant,Torrefied pellet plant,Forestry & Bioeconomy,Bioenergy,BC,Hazelton,CONSTRUCTION,50000000,REPORTED,95.0,15.0,REPORTED
318eb2d1-c429-5e6e-95ab-acd44453ace5,harmony-gold-mine,Harmony Gold Mine,Mining & Metals,Mining & mineral development,BC,Graham Island,ANNOUNCED,50000000,REPORTED,20.0,15.0,REPORTED
33ded977-e3db-57ef-91db-c3234363bb4e,usine-de-production-d-ethanol-cellulosique,Usine de production d'éthanol cellulosique,Clean Energy & Grid,Bioenergy,QC,Chaudière-Appalaches,ANNOUNCED,300000000,REPORTED,20.0,15.0,REPORTED
349ceaab-be11-52cf-9628-2d5f84775e02,s-d-solar-watson-lake,Sādę Solar Watson Lake,Clean Energy & Grid,Solar,YT,Watson Lake,CONSTRUCTION,30000000,REPORTED,95.0,15.0,REPORTED
35340dd4-62b3-5cbf-a937-b6879e03b476,line-creek-coal-mine-expansion,Line Creek Coal Mine Expansion,Mining & Metals,Mining & mineral development,BC,Sparwood,ANNOUNCED,140000000,REPORTED,20.0,15.0,REPORTED
3536306b-607e-5ab4-923f-b3fb4c3897a8,cheakamus-recoat-units-1-2-penstock-project,Cheakamus Recoat Units 1 & 2 Penstock Project,Clean Energy & Grid,Hydro,BC,Squamish,CONSTRUCTION,35000000,REPORTED,95.0,15.0,REPORTED
364bc181-ea38-5b6d-a23f-c0ff59654c7f,hammerdown-green-bay,Hammerdown (Green Bay),Mining & Metals,Mining & mineral development,NL,"King's Point, Green Bay",CONSTRUCTION,75000000,REPORTED,95.0,15.0,REPORTED
